"txNomeParlamentar";"ideCadastro";"nuCarteiraParlamentar";"nuLegislatura";"sgUF";"sgPartido";"codLegislatura";"numSubCota";"txtDescricao";"numEspecificacaoSubCota";"txtDescricaoEspecificacao";"txtFornecedor";"txtCNPJCPF";"txtNumero";"indTipoDocumento";"datEmissao";"vlrDocumento";"vlrGlosa";"vlrLiquido";"numMes";"numAno";"numParcela";"txtPassageiro";"txtTrecho";"numLote";"numRessarcimento";"vlrRestituicao";"nuDeputadoId";"ideDocumento"
"LID.GOV-CD";"";"";"";"NA";"";"55";"13";"FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR";"0";"";"CRISTIANE FERREIRA EPP";"037.139.030/0010-8";"693";"4";"2019-01-16T00:00:00";"111.3";"0";"111.3";"1";"2019";"0";"";"";"1554246";"";"";"2812";"6738121"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"1";"MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR";"0";"";"LOJAS AMERICANAS S/A";"330.145.560/2534-2";"11141";"4";"2019-01-22T00:00:00";"149.95";"0";"149.95";"1";"2019";"0";"";"";"1554921";"";"";"2439";"6740108"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"AUTO SHOPPING DERIVADO DE PETROLEO LTDA";"370.633.280/0105-8";"394692";"4";"2019-01-23T00:00:00";"100.01";"0";"100.01";"1";"2019";"0";"";"";"1557440";"";"";"2439";"6745278"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO DA TORRE EIRELI - EPP";"044.731.930/0015-9";"100430";"4";"2019-01-27T00:00:00";"222.67";"0";"222.67";"1";"2019";"0";"";"";"1557440";"";"";"2439";"6745281"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO DA TORRE EIRELI - EPP";"044.731.930/0015-9";"229009";"4";"2019-01-14T00:00:00";"195.99";"0";"195.99";"1";"2019";"0";"";"";"1554620";"";"";"2439";"6739314"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"3";"COMBUSTÍVEIS E LUBRIFICANTES.";"1";"Veículos Automotores";"POSTO DA TORRE EIRELI - EPP";"044.731.930/0015-9";"231261";"4";"2019-01-21T00:00:00";"200";"0";"200";"1";"2019";"0";"";"";"1554858";"";"";"2439";"6739931"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"9";"PASSAGENS AÉREAS";"0";"";"AZUL LINHAS AÉREAS BRASILEIRAS S.A.";"092.962.950/0148-4";"148311632";"0";"2019-01-28T00:00:00";"765.05";"0";"765.05";"1";"2019";"0";"";"";"1557167";"";"";"2439";"6744509"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"9";"PASSAGENS AÉREAS";"0";"";"TAM LINHAS AEREAS S/A.";"020.128.620/0016-0";"9572187865598";"0";"2019-01-06T00:00:00";"643.19";"0";"643.19";"1";"2019";"0";"";"";"1554621";"";"";"2439";"6739341"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"9";"PASSAGENS AÉREAS";"0";"";"TAM LINHAS AEREAS S/A.";"020.128.620/0016-0";"EVMRAD";"0";"2019-01-29T00:00:00";"1733.39";"0";"1733.39";"1";"2019";"0";"";"";"1557623";"";"";"2439";"6745671"
"LIDERANÇA DO PT";"";"";"";"NA";"";"55";"9";"PASSAGENS AÉREAS";"0";"";"TAM LINHAS AEREAS S/A.";"020.128.620/0016-0";"MVMQJF";"0";"2019-01-30T00:00:00";"1700.17";"0";"1700.17";"1";"2019";"0";"";"";"1557623";"";"";"2439";"6745690"
