Nome;Partido;UF;Tipo_de_Despesa;Valor;Gastos;
JÉSSICA SALES;MDB;AC;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;108500;108500;
JÉSSICA SALES;MDB;AC;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;49400;49400;
JÉSSICA SALES;MDB;AC;EMISSÃO BILHETE AÉREO;39955;39955;
JÉSSICA SALES;MDB;AC;COMBUSTÍVEIS E LUBRIFICANTES.;28463;28463;
JÉSSICA SALES;MDB;AC;LOCAÇÃO OU FRETAMENTO DE AERONAVES;6500;6500;
JÉSSICA SALES;MDB;AC;PASSAGENS AÉREAS;1960;1960;
JÉSSICA SALES;MDB;AC;TELEFONIA;274;274;
JÉSSICA SALES;MDB;AC;SERVIÇOS POSTAIS;217;217;
JÉSSICA SALES;MDB;AC;Total;235270;0;
HILDO ROCHA;MDB;MA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;160915;160915;
HILDO ROCHA;MDB;MA;EMISSÃO BILHETE AÉREO;28824;28824;
HILDO ROCHA;MDB;MA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;23000;23000;
HILDO ROCHA;MDB;MA;COMBUSTÍVEIS E LUBRIFICANTES.;7472;7472;
HILDO ROCHA;MDB;MA;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2542;2542;
HILDO ROCHA;MDB;MA;HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.;2458;2458;
HILDO ROCHA;MDB;MA;ASSINATURA DE PUBLICAÇÕES;2310;2310;
HILDO ROCHA;MDB;MA;TELEFONIA;515;515;
HILDO ROCHA;MDB;MA;SERVIÇOS POSTAIS;161;161;
HILDO ROCHA;MDB;MA;Total;228196;0;
HIRAN GONÇALVES;PP;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;71010;71010;
HIRAN GONÇALVES;PP;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;50900;50900;
HIRAN GONÇALVES;PP;RR;EMISSÃO BILHETE AÉREO;30715;30715;
HIRAN GONÇALVES;PP;RR;COMBUSTÍVEIS E LUBRIFICANTES.;25092;25092;
HIRAN GONÇALVES;PP;RR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;20000;20000;
HIRAN GONÇALVES;PP;RR;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;18512;18512;
HIRAN GONÇALVES;PP;RR;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;10000;10000;
HIRAN GONÇALVES;PP;RR;SERVIÇOS POSTAIS;578;578;
HIRAN GONÇALVES;PP;RR;TELEFONIA;550;550;
HIRAN GONÇALVES;PP;RR;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;227;227;
HIRAN GONÇALVES;PP;RR;Total;227584;0;
VICENTINHO JÚNIOR;PL;TO;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;175000;175000;
VICENTINHO JÚNIOR;PL;TO;COMBUSTÍVEIS E LUBRIFICANTES.;22056;22056;
VICENTINHO JÚNIOR;PL;TO;EMISSÃO BILHETE AÉREO;18190;18190;
VICENTINHO JÚNIOR;PL;TO;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;4509;4509;
VICENTINHO JÚNIOR;PL;TO;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;2050;2050;
VICENTINHO JÚNIOR;PL;TO;TELEFONIA;1095;1095;
VICENTINHO JÚNIOR;PL;TO;SERVIÇOS POSTAIS;493;493;
VICENTINHO JÚNIOR;PL;TO;Total;223394;0;
WELLINGTON ROBERTO;PL;PB;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;167400;167400;
WELLINGTON ROBERTO;PL;PB;EMISSÃO BILHETE AÉREO;35419;35419;
WELLINGTON ROBERTO;PL;PB;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;5000;5000;
WELLINGTON ROBERTO;PL;PB;COMBUSTÍVEIS E LUBRIFICANTES.;3283;3283;
WELLINGTON ROBERTO;PL;PB;MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR;2756;2756;
WELLINGTON ROBERTO;PL;PB;SERVIÇOS POSTAIS;2541;2541;
WELLINGTON ROBERTO;PL;PB;TELEFONIA;1650;1650;
WELLINGTON ROBERTO;PL;PB;SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO;1105;1105;
WELLINGTON ROBERTO;PL;PB;PASSAGENS AÉREAS;424;424;
WELLINGTON ROBERTO;PL;PB;FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR;268;268;
WELLINGTON ROBERTO;PL;PB;Total;219845;0;
EDIO LOPES;PL;RR;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;81100;81100;
EDIO LOPES;PL;RR;EMISSÃO BILHETE AÉREO;63262;63262;
EDIO LOPES;PL;RR;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;37500;37500;
EDIO LOPES;PL;RR;COMBUSTÍVEIS E LUBRIFICANTES.;26073;26073;
EDIO LOPES;PL;RR;SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.;10800;10800;
EDIO LOPES;PL;RR;SERVIÇOS POSTAIS;575;575;
EDIO LOPES;PL;RR;TELEFONIA;510;510;
EDIO LOPES;PL;RR;Total;219820;0;
HÉLIO LEITE;DEM;PA;DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.;80500;80500;
HÉLIO LEITE;DEM;PA;EMISSÃO BILHETE AÉREO;36436;36436;
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES;30000;30000;
HÉLIO LEITE;DEM;PA;COMBUSTÍVEIS E LUBRIFICANTES.;28552;28552;
HÉLIO LEITE;DEM;PA;CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.;18000;18000;
HÉLIO LEITE;DEM;PA;LOCAÇÃO OU FRETAMENTO DE AERONAVES;10800;10800;
